executorId,attempt,taskId,launchTime,executorDeserializeTime,executorRunTime,bytesRead,recordsRead,jvmGcTime,memoryBytesSpilled,resultSerializationTime,resultSize,bytesWritten,recordsWritten,writeTime
7,0,4043,2015-12-28T15:59:14.650GMT,2,149692,273870340,86,217,0,0,10553,780,4,88363
7,0,1563,2015-12-28T15:01:29.007GMT,3,160071,273971726,85,215,0,0,10553,585,3,69448
4,0,1564,2015-12-28T15:01:31.696GMT,4,46769,81240494,25,95,0,1,10553,390,2,80358
6,0,8097,2015-12-28T17:35:13.369GMT,3,149429,274106125,85,105,0,0,10553,780,4,89156
12,0,8096,2015-12-28T17:35:12.073GMT,2,136155,273151767,85,79,0,0,10550,778,4,89694
14,0,8095,2015-12-28T17:35:11.440GMT,4,154272,272285652,85,119,0,0,10554,782,4,79840
3,0,8094,2015-12-28T17:35:10.987GMT,3,42856,80395125,25,39,0,0,10553,197,1,46944
3,0,8093,2015-12-28T17:35:10.621GMT,3,161778,273218377,85,127,0,0,10553,788,4,76755
0,0,8092,2015-12-28T17:35:08.518GMT,3,154138,272827146,85,115,0,0,10553,788,4,86174
6,0,8091,2015-12-28T17:35:08.219GMT,3,147210,272198864,85,104,0,0,10553,786,4,74475
0,0,8090,2015-12-28T17:35:07.098GMT,2,154635,271693339,85,115,0,0,10553,786,4,79589
4,0,1565,2015-12-28T15:01:32.836GMT,3,160004,272421997,85,254,0,0,10553,780,4,66417
1,0,8099,2015-12-28T17:35:16.756GMT,4,42537,81654268,25,28,0,0,10553,195,1,57464
2,0,8098,2015-12-28T17:35:13.658GMT,3,157751,274554689,85,118,0,0,10549,780,4,78926
8,0,5239,2015-12-28T16:21:23.419GMT,3,43638,81471311,25,112,0,0,10549,390,2,63443
13,0,6659,2015-12-28T16:47:20.282GMT,1,37338,71400508,22,80,0,0,10550,390,2,71566
14,0,6658,2015-12-28T16:47:19.851GMT,3,153161,274297026,86,322,0,0,10554,780,4,77271
10,0,6657,2015-12-28T16:47:18.663GMT,3,334587,273400457,85,575,0,0,10554,778,4,64515
15,0,6656,2015-12-28T16:47:16.018GMT,3,136022,274460783,86,541,0,0,10554,780,4,86280
15,0,6655,2015-12-28T16:47:12.331GMT,3,328201,272847135,86,625,0,0,10554,585,3,77621
3,0,6654,2015-12-28T16:47:12.231GMT,3,44294,72890541,23,93,0,0,10553,390,2,77053
6,0,6653,2015-12-28T16:47:11.375GMT,3,163935,272729031,85,390,0,0,10553,780,4,80669
4,0,6652,2015-12-28T16:47:10.979GMT,3,343614,274542346,86,187,0,0,10553,778,4,86841
0,0,6651,2015-12-28T16:47:10.932GMT,3,334669,271755955,85,674,0,0,10553,780,4,83168
12,0,6650,2015-12-28T16:47:09.816GMT,3,140518,272633301,86,321,0,0,10550,587,3,73671
5,0,6385,2015-12-28T16:42:21.035GMT,4,165721,273069774,86,444,0,0,10549,784,4,99569
4,0,6384,2015-12-28T16:42:20.402GMT,3,44140,73605028,23,97,0,0,10553,394,2,121083
7,0,6387,2015-12-28T16:42:23.891GMT,3,165179,274413197,86,387,0,0,10553,778,4,86593
0,0,6386,2015-12-28T16:42:22.624GMT,3,167020,272035527,85,394,0,0,10553,778,4,88292
0,0,6381,2015-12-28T16:42:16.344GMT,3,163320,272158360,85,387,0,0,10553,786,4,86331
2,0,6380,2015-12-28T16:42:14.083GMT,3,166036,273251403,86,419,0,0,10549,784,4,111920
1,0,6383,2015-12-28T16:42:18.549GMT,3,165149,273176679,85,448,0,0,10553,591,3,69867
9,0,6382,2015-12-28T16:42:16.831GMT,3,166187,274618769,86,432,0,0,10549,786,4,87006
8,0,6389,2015-12-28T16:42:27.470GMT,3,44856,73419063,23,23,0,0,10549,390,2,108660
14,0,6388,2015-12-28T16:42:26.250GMT,3,160835,272904791,85,362,0,0,10554,585,3,73148
6,0,2381,2015-12-28T15:19:49.592GMT,2,88195,271900559,85,51,0,0,10553,778,4,68386
8,0,2380,2015-12-28T15:19:48.968GMT,3,123174,274608682,87,149,0,0,10549,780,4,61997
15,0,2383,2015-12-28T15:19:59.027GMT,3,83067,272764641,86,105,0,0,10554,780,4,68295
6,0,2382,2015-12-28T15:19:51.219GMT,2,97421,272664682,86,51,0,0,10553,583,3,51039
